"session_id","is_click"
394913,1
202082,1
27431,1
395351,1
395628,1
393925,1
393942,1
238671,1
394238,1
208007,1
208044,1
241799,1
396226,1
239209,1
239628,1
393782,1
472373,1
208680,1
394862,1
241787,1
394239,1
199177,1
395771,1
521336,1
395829,1
208047,1
394919,1
471293,1
394462,1
394953,1
218408,1
239839,1
400250,1
27838,1
238438,1
207486,1
222678,1
203342,1
395095,1
393988,1
238567,1
240056,1
394134,1
208076,1
199244,1
394558,1
395087,1
281148,1
207869,1
240208,1
395640,1
208837,1
208550,1
468444,1
156844,1
396309,1
395116,1
395891,1
394360,1
226187,1
472494,1
393905,1
395763,1
238307,1
467398,1
208467,1
394808,1
116177,1
517638,1
395296,1
395694,1
239398,1
395505,1
393887,1
240396,1
208279,1
466183,1
400002,1
239723,1
395675,1
393691,1
281257,1
396056,1
393711,1
470945,1
395265,1
396329,1
394730,1
394353,1
400321,1
222689,1
207459,1
208230,1
208398,1
214509,1
541960,1
208183,1
395371,1
239638,1
466837,1
400094,1
395654,1
208819,1
394463,1
240432,1
466348,1
386359,1
395544,1
394625,1
207642,1
395458,1
393985,1
467528,1
395617,1
239331,1
395261,1
393977,1
393773,1
395753,1
238391,1
393712,1
522942,1
393675,1
395746,1
395271,1
394619,1
396238,1
394723,1
238479,1
467138,1
116420,1
395890,1
199919,1
238065,1
393990,1
454194,1
396022,1
226285,1
240398,1
237660,1
394079,1
28195,1
200016,1
217348,1
394436,1
115945,1
393875,1
393832,1
218991,1
222574,1
470335,1
238324,1
208461,1
395464,1
198069,1
237792,1
226458,1
358190,1
236661,1
395109,1
466304,1
394979,1
394987,1
470158,1
395560,1
394753,1
208905,1
393870,1
226304,1
394708,1
395488,1
240213,1
400022,1
239779,1
522298,1
226306,1
462495,1
226664,1
270618,1
394365,1
240301,1
393934,1
237757,1
393871,1
517956,1
394133,1
394214,1
281260,1
234982,1
281511,1
522480,1
394594,1
472085,1
462519,1
394963,1
395859,1
239383,1
349987,1
239114,1
395999,1
522068,1
357165,1
208762,1
395801,1
239449,1
395282,1
239556,1
271862,1
533832,1
271362,1
394370,1
394761,1
395752,1
471362,1
240069,1
393797,1
238727,1
220224,1
215284,1
207758,1
208102,1
271644,1
197387,1
395353,1
240044,1
393936,1
240063,1
240029,1
470248,1
395151,1
517242,1
214638,1
218335,1
197742,1
238926,1
394991,1
516974,1
435385,1
395196,1
395759,1
394118,1
394651,1
403116,1
563903,1
386482,1
523477,1
226484,1
396269,1
280437,1
238722,1
516010,1
358983,1
273456,1
393901,1
395018,1
396094,1
521326,1
239845,1
237844,1
208395,1
519441,1
222616,1
400111,1
396285,1
395171,1
456458,1
238152,1
239800,1
157921,1
238902,1
273544,1
395838,1
267921,1
394582,1
395519,1
266420,1
521198,1
394537,1
280906,1
394057,1
446446,1
207578,1
394706,1
270573,1
15303,1
239473,1
239949,1
395923,1
394181,1
266653,1
520768,1
466274,1
212637,1
434331,1
208198,1
275515,1
483737,1
532724,1
207742,1
239913,1
395739,1
394849,1
276983,1
268964,1
394061,1
207883,1
394344,1
207474,1
530849,1
346359,1
207996,1
520708,1
394899,1
238117,1
25613,1
28093,1
517109,1
516420,1
208133,1
544674,1
276937,1
280645,1
395197,1
564157,1
394524,1
226293,1
25743,1
347613,1
239790,1
530233,1
472453,1
544517,1
515842,1
400025,1
274224,1
27630,1
280926,1
516381,1
270659,1
207710,1
395101,1
199495,1
436174,1
391258,1
238187,1
396003,1
393904,1
264242,1
469645,1
469293,1
240052,1
238254,1
208665,1
386708,1
240292,1
155555,1
396209,1
267290,1
239006,1
278861,1
394216,1
287745,1
394372,1
468528,1
201901,1
198850,1
238937,1
395744,1
358576,1
8849,1
220000,1
468418,1
357205,1
522668,1
467935,1
207805,1
469985,1
208175,1
263748,1
539211,1
467052,1
28433,1
472073,1
395750,1
396415,1
239622,1
208256,1
469188,1
219189,1
208820,1
384086,1
471452,1
396307,1
385281,1
535611,1
400204,1
328655,1
116858,1
395487,1
208567,1
520678,1
395050,1
393958,1
28243,1
563790,1
469017,1
386458,1
563759,1
394427,1
371686,1
395681,1
494890,1
239693,1
208607,1
234809,1
226716,1
395632,1
396158,1
208614,1
240397,1
395972,1
471813,1
394990,1
395561,1
393859,1
395397,1
32959,1
207782,1
222608,1
202624,1
523401,1
534114,1
208486,1
408195,1
264372,1
208784,1
386442,1
564262,1
239951,1
200778,1
239583,1
208272,1
208458,1
202130,1
273326,1
240317,1
208832,1
517944,1
197443,1
540089,1
393498,1
402491,1
283448,1
194767,1
137048,1
208528,1
539377,1
266651,1
530142,1
240100,1
544450,1
544602,1
239315,1
201307,1
226668,1
226731,1
198101,1
210375,1
201096,1
201005,1
533679,1
544481,1
282218,1
201574,1
528418,1
516796,1
32218,1
208906,1
199030,1
239735,1
322279,1
239886,1
543358,1
238398,1
197350,1
207855,1
207524,1
208192,1
275443,1
199411,1
227072,1
238335,1
537691,1
275180,1
26953,1
26963,1
200006,1
277663,1
197848,1
370840,1
198743,1
288147,1
263052,1
239201,1
240356,1
237955,1
400037,1
486657,1
433993,1
239146,1
208270,1
202694,1
239382,1
208692,1
272674,1
222648,1
274586,1
207493,1
238328,1
238818,1
528626,1
516586,1
280402,1
239720,1
400063,1
239768,1
386410,1
201441,1
267003,1
116553,1
238350,1
208357,1
537880,1
238924,1
27491,1
327738,1
200255,1
238024,1
199043,1
238473,1
237691,1
208587,1
238748,1
201117,1
197168,1
240274,1
382102,1
386576,1
240289,1
399935,1
239838,1
400007,1
400115,1
199507,1
226301,1
238040,1
462971,1
208332,1
239679,1
202180,1
202583,1
239014,1
351502,1
13940,1
201006,1
198876,1
240222,1
239390,1
240368,1
238301,1
539373,1
208834,1
270796,1
208025,1
200892,1
208444,1
264526,1
237914,1
220828,1
198675,1
207465,1
238525,1
226564,1
273234,1
282745,1
266325,1
239906,1
208563,1
239456,1
198177,1
208275,1
564353,1
386272,1
281237,1
533767,1
208366,1
238091,1
263743,1
208080,1
240334,1
239291,1
345809,1
199308,1
25517,1
226752,1
381609,1
199769,1
271015,1
198628,1
207877,1
208096,1
346206,1
281481,1
198396,1
399944,1
539553,1
240119,1
198830,1
200645,1
197817,1
208351,1
208072,1
517844,1
208453,1
239698,1
240073,1
208549,1
533833,1
207594,1
239671,1
238280,1
240205,1
222607,1
520535,1
201941,1
552256,1
201813,1
201384,1
521333,1
520279,1
199296,1
391222,1
208803,1
208482,1
208710,1
27336,1
222619,1
208455,1
237849,1
240242,1
268842,1
240392,1
208601,1
239938,1
220611,1
240382,1
239081,1
208815,1
283760,1
535455,1
523395,1
27805,1
528110,1
539112,1
226800,1
208001,1
240025,1
558759,1
255515,1
403534,1
530049,1
208808,1
207453,1
197421,1
239212,1
238436,1
207609,1
532604,1
516441,1
198141,1
564062,1
207950,1
558608,1
269841,1
200119,1
238466,1
207537,1
240154,1
528551,1
406008,1
534215,1
404453,1
238656,1
226947,1
207436,1
197337,1
539421,1
207555,1
238221,1
207828,1
240137,1
483424,1
208573,1
208513,1
263354,1
207797,1
254217,1
264178,1
278568,1
279587,1
239498,1
198607,1
518380,1
358265,1
234731,1
197558,1
207681,1
207444,1
399991,1
266081,1
348588,1
391192,1
239182,1
400120,1
208035,1
239786,1
238275,1
197548,1
239046,1
386045,1
240126,1
208191,1
207746,1
238026,1
483349,1
239966,1
349104,1
240185,1
240247,1
239832,1
222587,1
533162,1
207558,1
264429,1
210405,1
199070,1
237628,1
283647,1
208883,1
239757,1
237834,1
15322,1
544065,1
239934,1
239053,1
208338,1
558696,1
239235,1
524574,1
197796,1
535487,1
212835,1
238714,1
208606,1
251525,1
240428,1
237640,1
238740,1
202178,1
226665,1
208045,1
207573,1
208152,1
210978,1
408256,1
222700,1
226661,1
197395,1
208807,1
207522,1
240011,1
207654,1
281149,1
199054,1
558784,1
239963,1
400253,1
530416,1
31970,1
197758,1
400305,1
248556,1
529498,1
407353,1
200535,1
250002,1
270703,1
207684,1
237895,1
544025,1
532864,1
200185,1
201716,1
208042,1
239812,1
481361,1
240105,1
207521,1
375519,1
274493,1
279572,1
276729,1
491751,1
250371,1
538298,1
458285,1
558883,1
529829,1
239834,1
198279,1
273086,1
532811,1
536341,1
357497,1
273563,1
208361,1
246514,1
239211,1
202332,1
199569,1
240136,1
357765,1
200484,1
252411,1
347767,1
208532,1
240059,1
207451,1
226930,1
198242,1
391246,1
558502,1
391224,1
249548,1
202780,1
208354,1
481686,1
535131,1
214512,1
238839,1
208502,1
350311,1
240138,1
207966,1
208592,1
532421,1
275947,1
238928,1
254743,1
263669,1
520474,1
240444,1
263070,1
517756,1
207669,1
218754,1
240262,1
240030,1
208796,1
207523,1
251055,1
265995,1
530162,1
222657,1
207431,1
249195,1
208812,1
558768,1
536223,1
208509,1
240229,1
522578,1
391174,1
242754,1
239791,1
207485,1
548876,1
207623,1
254661,1
263176,1
275746,1
239308,1
240195,1
253620,1
487160,1
272021,1
238520,1
529831,1
208731,1
267007,1
32889,1
227306,1
344468,1
238208,1
253838,1
528411,1
267570,1
208086,1
208897,1
532523,1
359276,1
222660,1
400191,1
239957,1
238911,1
242344,1
211627,1
544088,1
539641,1
240102,1
238918,1
281748,1
536619,1
327907,1
211384,1
207786,1
239215,1
399995,1
558607,1
208460,1
116418,1
214413,1
556121,1
486006,1
386256,1
237915,1
207698,1
558554,1
538568,1
386425,1
237747,1
385280,1
240298,1
240284,1
240354,1
283122,1
208746,1
239575,1
564241,1
434298,1
564414,1
268685,1
451896,1
564069,1
386468,1
11925,1
239180,1
240381,1
281931,1
226283,1
8851,1
520990,1
239919,1
248625,1
403424,1
227064,1
400003,1
484450,1
535759,1
240129,1
534329,1
400232,1
387192,1
222654,1
238214,1
240091,1
207971,1
389078,1
387097,1
535945,1
240375,1
388326,1
227093,1
31896,1
400175,1
463515,1
278288,1
388339,1
196981,1
348670,1
388353,1
263919,1
388188,1
388709,1
226960,1
532082,1
350524,1
535236,1
255333,1
388620,1
349850,1
359088,1
384980,1
245331,1
238492,1
269528,1
